Post,Posted,OrganicReach,OrganicImpressions,EngagedUsers,Comments,Likes,Shares,LinkClicks,OtherClicks
Hundreds of graduate student workers came out Monday and Tuesday to vote on whether the Coalition of Graduate Workers could represent them in collective bargaining. 84 percent of those who voted are in favor of that. http://bit.ly/1NAvZNV,4/20/16 4:34,2158,3328,69,,20,4,38,22
Get your TED on this Saturday - MU is hosting a &quot;Shaping the Future&quot; TEDxMU Summit. http://bit.ly/1VimH0L,4/20/16 4:07,100,139,1,,1,,,
"Enjoy some springtime photos of a delightful couple romping around in their garden. Laura and Kurt Kingsley are self-proclaimed ameteurs, but they seem to enjoy experimenting with different plant varieties to save their garden from weeds. http://bit.ly/1WdsUtZ",4/19/16 20:08,1117,1920,24,,4,,15,8
A former MU physician charged with aggravated stalking had his bond reduced to a quarter of the original amount. He's also expected to speak publicly about the charges on Wednesday. http://bit.ly/1WEam6B,4/19/16 18:33,2261,3871,157,2,3,2,145,17
"Columnist Carl Kenney remarks on the impact of MU’s job cuts, and he describes how these cuts affects Columbia on social and economic levels.",4/19/16 16:07,1547,2541,71,1,2,,42,37
The president and CEO of Planned Parenthood for St. Louis Region and Southwest wants to subpoena an ex-Missouri Senate Head to testify in her defense.,4/19/16 14:00,852,1422,18,,,,11,8
"Whether it was your first kiss, favorite summer hangout or where you found the best food in town, tell Vox Magazine about your favorite Columbia moments.",4/19/16 13:00,1597,2628,48,,6,2,28,15
"MU Student Health Center executive director Susan Even confirmed a case of mumps in an MU residence hall Monday. She says the student is no longer contagious, and it appears to be an isolated incident.",4/19/16 12:00,1610,2700,71,2,1,1,30,46
Members of the Missouri House committee have expressed concern about the creation of an eight-person oversight committee to value the organization of the UM system. The proposed legislation to form the committee has already passed through the Senate.,4/19/16 11:00,1418,2418,58,,1,2,36,35
"German-born Fabian Schwingenschlogl won Missouri its first national title on April 16. His journey to swimming for MU has been a long one, with many stops along the way.",4/19/16 10:01,411,559,8,,4,,3,4
"Rock Bridge High School senior Molly Klein will play soccer at Columbia College next year, joining forces with her dad, coach John Klein. http://bit.ly/1WCjEQA",4/19/16 8:10,151,263,4,,,1,,3
"Today's front page features plans for a new park near Route K, a legislative resolution affecting the UM System, and the Ecuador earthquake. Check out our e-edition: http://bit.ly/22JADzT",4/19/16 6:00,1732,5176,7,,1,,1,1
"Jordan Geist, a junior college transfer, committed to Missouri via his Twitter account Friday. The Tigers made the signing official Monday. http://bit.ly/1Nk45uO",4/19/16 4:06,1205,1852,16,,2,,10,5
"After traveling from a German university to Western Kentucky to swim, Fabian Schwingenschlogl, a German international student, was met with disappointment after the university's swim team was suspended in 2015. Now, he has found success at MU in swimming. Schwingenschlogl won a national championship title in the 100 breaststroke by swimming it in 51.29 seconds. http://bit.ly/22JqNhD",4/18/16 20:00,2222,3667,63,1,14,2,14,42
Three people were pulled out of rubble to safety after being trapped in a collapsed building in Ecuador for 32 hours. The story comes after a 7.8 magnitude earthquake Saturday in Ecuador killed more than 350 people. http://bit.ly/22JhONs,4/18/16 18:21,776,1212,6,,1,,2,5
"Columbia Parks and Recreation Department put on its first-ever Yappy Hour event Saturday afternoon with not only games and activities, but also non-alcoholic beer for dogs. What would you call a beer for dogs? http://bit.ly/22Ivnws",4/18/16 16:05,125,174,2,,,,2,1
"Aaron Hovis was one of 190 participants who competed in a timbersports competition in Hallsville Saturday. After placing third in the 2015 Collegiate Finals, Hovis proved he was back with vengence in this year's competition. http://bit.ly/22IDBEP",4/18/16 14:05,5933,12222,172,1,39,13,6,145
THIS WEEK IN PHOTOS: Missourian photographers used creativity and unique angles to capture powerful images of their subjects. http://bit.ly/1pbZ4J9,4/18/16 13:10,256,347,5,,,,5,
The Combat Boots and High Heels 5.56K Walk/Run is reader Adrienne Hatcher passion. She shares why she is putting on the event and who the organization aims to serve. http://bit.ly/1pbpZov,4/18/16 12:05,170,285,4,,2,,2,
An MU student has been arrested in connection with a report of a rape that occurred early Sunday morning.,4/18/16 11:05,3854,7096,444,,9,8,420,24
"We're currently working on a story regarding the earthquakes in Ecuador and how it has affected members in the local community. If you or someone you know has a personal connection to this tragedy, we would love to talk and hear your story. If you are interested, feel free to contact the Columbia Missourian newsroom at (573) 882-5714 or email reporter Rachel Phillips at rapzp4@mail.missouri.edu.The latest on the losses in Ecuador: http://bit.ly/22I9HAw",4/18/16 10:32,850,1367,8,,,,2,6
"Columbia Parks and Recreation is in the process of buying land for a new park in south Columbia. The future park will be located near The Gates, a developing upscale housing subdivision. http://bit.ly/22HLaf1",4/18/16 8:11,2741,4897,105,,21,2,70,34
"Mizzou baseball lost a &quot;ruff&quot; one Sunday against LSU, 15-2. Luckily, dogs were in attendance to keep peoples' spirits alive. http://bit.ly/22FUKyW",4/18/16 6:29,2457,4024,58,,14,3,37,14
"Stephens fashion students collaborated to parade a wide variety of styles on the catwalk, including women's, children's and gender-neutral clothing, at the school's 72nd annual &quot;Collections&quot; fashion show. http://bit.ly/1VbQKXW",4/18/16 4:00,295,478,18,,4,,11,7
"While covering this week's story assignments, Missourian photographers got up close and personal with their subjects, exploring them from a wide variety of angles. Read about their approaches to these photos here: http://bit.ly/1VbT0hS",4/17/16 19:00,1262,2035,26,,3,,19,5
"This week's most read stories include former MU Chancellor R. Bowen Loftin's transitional position that never materialized, MU Police telling protesters to use their inside voices and a state representative who thinks UM System officials haven't done enough to address diversity. http://bit.ly/1So6l6u",4/17/16 17:09,1723,2908,48,,,,43,6
"PolitiFact Missouri fact checked a claim by Catherine Hanaway, former Speaker of the Missouri House of Representatives. She said, &quot;We're the worst state in the country at moving people from welfare to work.&quot; This claim was rated, &quot;False.&quot; http://bit.ly/1VbRfRY",4/17/16 15:35,1746,2992,42,1,15,2,21,11
The Boone County Sheriff's Department will add 14 new cars to its fleet by the beginning of May. The new cars have a license plate reader and fingerprint scanner in the front seat. http://bit.ly/1SfiWmY,4/17/16 14:28,2077,3512,71,3,5,2,49,26
"After a shaky first play, Missouri's offense and quarterback Drew Lock turned Saturday's spring game around. &quot;Reps on reps on reps,&quot; Drew Lock said. &quot;It's crazy what it'll do for you. Practice makes perfect and I think we're feeling that today.&quot; http://bit.ly/1SePEF4",4/17/16 12:01,267,384,5,,,,3,2
The tastiest tailgate on Saturday probably wasn't before the spring football game. Shrimp boil and gumbo turned into a recipe for friendship before the Mizzou vs. LSU baseball game at Taylor Stadium. http://bit.ly/22DKDed,4/17/16 10:09,6151,10109,223,12,74,14,91,114
"Shouts of, &quot;Stop the violence, show the love!&quot; could be heard downtown on Saturday as participants in the We Are Family March worked to spread awareness about gang violence. http://bit.ly/1qQAcbk",4/17/16 8:35,2888,4730,185,26,60,8,57,99
Today's front page features lumberjacks; Yappy Hour; budget cuts; and Middleton's optimistic speech. Check out our e-edition: http://bit.ly/1TZ0V0N,4/17/16 6:08,1684,4821,10,,1,,1,2
"Saturday's Yappy Hour event featured plenty of pups and suds in the first-ever event held at Twin Lakes Recreational Area. Dogs were given non-alcoholic beer during the event, which has chemicals and nutrients that are good for the pooches. http://bit.ly/1p7U5t1",4/16/16 20:05,352,576,14,,2,,9,5
The future of the six security cameras in downtown Columbia is up in the air since it is not in the Police Department's budget to maintain or replace them. http://bit.ly/1Wy9wIz,4/16/16 18:11,1043,1701,8,,,,7,1
MU students will no longer be able to get free flu shots or take advantage of the Stressbusters program. MU Health Care is making these changes as well as others to adapt financially to the drop in enrollment for the fall 2016 semester. http://bit.ly/1Sm9tj9,4/16/16 16:29,1930,3327,188,10,12,8,77,119
"School visits, social networks and program partnerships are just some ways Columbia police are working to better its relationship with residents of Columbia's north, central and east neighborhoods. http://bit.ly/1p7xNYr",4/16/16 14:41,1707,2788,40,1,15,,14,20
One hundred Rock Bridge High School students had a chance to ask Governor Nixon questions about recent policies yesterday. What would you have asked the governor? http://bit.ly/1Slpndr,4/16/16 12:00,85,133,2,,,,,2
"A group of retirees and graduate students gathered Friday to protest the new retiree health insurance policy, which includes limiting retirement medical benefits for 84 percent of eligible employees. http://bit.ly/1NtwPvG",4/16/16 10:06,2184,3952,94,3,5,1,58,48
"Twelve MU students have died in the past year. Yesterday, friends, family and Mizzou community members celebrated these students' contributions to campus. “Although these people are not with us, their hopes and dreams are kept alive,” Vice Chancellor Cathy Scroggs said. http://bit.ly/1qO6UKw",4/16/16 8:00,3499,5952,190,,23,2,153,33
"In a Q&amp;A session Friday at Rock Bridge High School, Gov. Jay Nixon addressed various issues that will likely affect today's high school students in the near future. &quot;You're not going to have it so lucky,&quot; Nixon said. &quot;That's the way of the world, and that's what you're in.&quot; Students' questions touched on topics including the governor's &quot;ban the box&quot; executive order and the cycle of poverty. http://bit.ly/1Ntytxq",4/16/16 6:22,884,1508,21,,2,,10,14
"Middleton delivered an optimistic speech to the UM System Board of Curators on Thursday that highlighted the hiring of a diversity chief, the selection of an audit firm to examine equity and inclusion throughout the system and a growing respect for MU among other schools. http://bit.ly/1NtBIoG",4/15/16 20:10,1182,1894,22,1,2,1,11,12
"As a result of MU's expected $32 million budget shortfall for fiscal year 2017, MU Libraries plans to cut multiple positions and collections and shorten its hours to bridge its budgetary gap of $894,000. http://bit.ly/1TWTwPx",4/15/16 18:00,10776,19546,969,65,110,42,308,702
"In an open letter to Sen. Kurt Schaefer, Columbia resident Kate Berneking Kogut called Schaefer's actions against Planned Parenthood &quot;unacceptable and unethical.&quot; &quot;The time you spend attacking Planned Parenthood is time you should spend working on genuine needs of our state,&quot; Berneking Kogut said. http://bit.ly/22Aosp3",4/15/16 16:30,4374,7230,258,18,68,8,66,181
"To comply with a federal antitrust subpoena, the UM System released the financial aid records of about 500 former and current Mizzou athletes. The lawsuit was filed by former NCAA football and women's and men's basketball student athletes in 2014 against the NCAA and other major conferences.  http://bit.ly/1SHfNvA",4/15/16 15:15,1982,3346,71,,4,2,43,31
The recent demolition of Quinton's Bar and Deli is just one of the many events changing the landscape of downtown Columbia as more housing developments are constructed.,4/15/16 13:04,19285,38209,1623,122,200,48,,1491
"Anna Drake, director of Heart of Missouri CASA, said the organization will continue to help support local children. &quot;The best outcome for these children is stable, permanent placements,&quot; Drake said. http://bit.ly/1TWoYNX",4/15/16 12:21,1110,1793,21,,5,1,7,12
Attendees reflected on modern-day plagues such as the global refugee crisis and LGBTQ discrimination at a Seder on Thursday. This is the eighth annual Social Justice Seder held by Mizzou Hillel and the Women's Center. http://bit.ly/22A5nUa,4/15/16 11:50,816,1222,10,,,,4,7
"A Missouri Senate committee agreed to restore most UM funding cuts last week, but UM System budget talks are still in limbo pending a legislature decision and expected $32 million tuition shortfall. http://bit.ly/1SbRarm",4/15/16 10:44,948,1532,20,1,,,7,15
"Columnist George Kennedy reflects on Wednesday's legislative candidate forum. The event was a chance to educate the candidates on minority issues and engage the community, but was sparely attended — and only Democratic candidates showed up.  http://bit.ly/1SiC9tg",4/15/16 8:10,915,1491,16,,1,,11,5
Today's front page features Social Justice Seder; UM retirement benefits; and donated land. Check out our e-edition: http://bit.ly/1TUZm4b,4/15/16 6:06,2014,4933,15,,3,1,2,5
"Games, food and &quot;rooster fighting&quot; were all part of a celebration of Latin American culture held Thursday at Memorial Student Union.  http://bit.ly/1SiQplL",4/15/16 4:10,197,303,3,,1,,1,2
"To celebrate the Jewish feast of Passover, students gathered Thursday at Mizzou Hillel to share a Seder meal and discuss modern-day &quot;plagues.&quot; http://bit.ly/1V5tESV",4/14/16 20:20,500,877,32,,3,,11,21
"After a year of negotiations, it's been decided that 102 acres of land near The Pinnacles will be protected from development. The land was previously owned by James and Joanne Whitley. http://bit.ly/1SapCCN",4/14/16 18:10,3434,5274,138,1,54,2,71,34
"From dumplings to pinyin, the MU Confucius Institute  strives to bring Chinese culture to all of Columbia's corners. The institute is a partnership between MU and Shanghai Normal University in China. http://bit.ly/1SildTG",4/14/16 16:22,825,1409,16,,12,1,5,8
"When it comes to planning for retirement, 84 percent of UM System employees will now have to count on getting less in medical benefits. And those who won't have five or more years of service by 2018 won't receive them. Will this measure affect you?",4/14/16 14:20,1714,2926,67,1,4,1,46,21
The Office of National Marine Sanctuaries announced the discovery of a missing Naval tugboat a few miles off the coast of San Francisco. The tugboat had reportedly been missing for 95 years. http://bit.ly/1p1Eyee,4/14/16 13:29,639,993,3,,,,3,
Mizzou Softball regained its momentum on Wednesday after outscoring Wichita State 20-2 during a doubleheader. The next game is this weekend against No. 14 Kentucky Wildcats. http://bit.ly/1Si1nrK,4/14/16 12:29,744,1204,6,,2,,4,
Former State Rep. Chris Kelly sent in his formal resignation to Mayor Brian Treece through email on Tuesday. Kelly discussed his reasons for his stepping down at Wednesday's task force meeting.,4/14/16 11:34,2276,3970,148,1,9,,117,52
Democratic candidates called for increased diversity in education and fairer voting policies at the state legislator diversity forum on Wednesday. http://bit.ly/1ShXanR,4/14/16 10:36,547,918,21,,6,,7,11
"Dewayne Carter, 24, was hit by one car, thrown into a second car, and then run over by a third car. Carter had drugs or alcohol in his system at the time of the accident.",4/14/16 9:36,2685,4601,248,5,7,,175,106
"Undocumented immigrants can enroll in universities thanks to the Deferred Action for Childhood Arrivals policy, but the legistlation can also hold these students back; they are ineligible to receive student loans, federal Pell Grants or institutional scholarships, despite the fact that they have to pay international student tuition rates.",4/14/16 8:09,1178,1972,54,4,3,,11,46
Today's front page features eliminating inequity; student protests; and Peabody's bankruptcy. Check out our e-edition: http://bit.ly/1TSI07S,4/14/16 6:06,1539,3869,7,,1,,,
"At a campus protest on Wednesday, MU police warned demonstrators they would be enforcing a policy that makes shouting in university buildings punishable by arrest or expulsion. The demonstrators, protesting as a part of Million Student March, remained silent in Jesse Hall. http://bit.ly/1Np1quv",4/14/16 4:11,276,369,9,,1,,7,1
"Coach Cornell Ford calls the Missouri running backs his &quot;goon squad&quot; — He wants his players to be relentless in everything they do, whether it's a spring practice or a heated Southeastern Conference matchup. http://bit.ly/1NoZoup",4/13/16 20:06,408,613,7,,1,,5,2
About 15 MU students demonstrated Wednesday to protest the cost of college and to promote higher wages for student workers. But they were met with a new challenge when they tried to pass through university buildings. http://bit.ly/1S85UaV,4/13/16 18:05,5817,10043,577,31,48,9,371,344
Local communist David Rosman said Missouri legislators should learn a lesson from North Carolina and Missisippi when it comes to discrimination against the LGBTQ community. http://bit.ly/1Wskr6G,4/13/16 16:10,1166,1992,36,,12,,23,11
"Public safety and lodging tax were two main points discussed during the &quot;one-year look forward&quot; into the city's budget at the 2016 Columbia City Council orientation. &quot;We don't want to introduce any gap in the recruitment and retention of those first responders,&quot; said mayor elect Brian Treece.",4/13/16 14:15,233,319,3,,,,3,1
Stephens College softball's lone senior Cheyenne Jones has been sidelined with an injury since a car accident in December. But she won't let the injury keep her away from the diamond. http://bit.ly/1SzS2W4,4/13/16 13:25,797,1240,7,,,,4,3
"MU student Sam Byrne used to think diabetes was a disease people acquired as they got older or unhealthier. But when he was diagnosed with Type 1 diabetes as a teenager eight years ago, he realized how important it was to be consistent and take control of the disease, especially as he entered college. http://bit.ly/1SzNvmy",4/13/16 12:10,1088,1835,22,,3,,16,7
"It's National Library Week, so here's a story from last week about how Columbia public school librarians are seeking to provide diverse children's book collections so minority students feel more reflected in literature. http://bit.ly/1SfyyMw",4/13/16 11:20,914,1499,24,2,12,1,4,12
Social equity was one of the priorities absent from Columbia's 2012-2015 strategic plan. Now city officials are planning to eliminate the contrasts in economic opportunities between black and white residents. http://bit.ly/1SftvMf,4/13/16 10:10,409,732,15,,3,1,2,10
Speaker details how black Americans in the early 20th century cast off European-assigned racial and religious  identities for new spiritual movements. http://bit.ly/1S5wphh,4/13/16 8:20,1198,2034,20,,3,,11,7
"Today's front page features former R. Bowen Loftin never starting his new job, Mayor-elect Brian Treece and the City Council discussing Columbia's financial future, and MU researchers looking in to how plants &quot;see.&quot; Our e-edition: http://bit.ly/1S5wd1e",4/13/16 6:08,1428,2311,81,1,1,,54,39
Mayor-elect Brian Treece got his first taste of leading Columbia at a Tuesday night orientation. http://bit.ly/22tgWwc,4/13/16 4:25,795,1226,11,,2,,7,3
"The crew of running backs at Missouri's spring football practice is small — which means they're getting more work, more coaches attention and more opportunities.",4/12/16 20:10,943,1456,12,,1,,8,5
"The sidewalks were closed around Britches Clothing and Quinton's Bar &amp; Deli on Tuesday as demolition crews began tearing apart both structures in downtown Columbia. The area is being cleared to make way for Rise Apartments, a student housing complex. http://bit.ly/1NnoBoM",4/12/16 18:14,7713,13193,612,33,81,16,216,433
"Baseball is in the air across the nation as teams open the season, and Columbia is no exception. “A successful game is where no one gets hurt,&quot; said teammate Patrick Seward. “If we’re all healthy and get a couple beers in us, it’s a good day.”  http://bit.ly/22sxp3U",4/12/16 16:00,1155,1944,31,,,,16,17
"Three days after former MU Chancellor resigned, health care company Cerner Corporation sent a letter to the UM System Board of Curators. Why? They were concerned that R. Bowen Loftin's transition agreement to work as an administrator of Tiger Institute, which is run by MU and Cerner, was done without their prior knowledge.http://bit.ly/1oVaYXN",4/12/16 14:00,4607,8752,593,11,12,9,352,340
"Dr. Angela Speck, director of astronomy and professor of astrophysics at MU says that an upward of 400,000 watchers and scientists will come to Columbia to watch the total solar eclipse on August 21, 2017.",4/12/16 13:13,209,304,11,,1,,5,9
According to the U.S. Energy Information Administration 58 percent of Missouri's carbon dioxide emissions come from coal burning. Missouri ranks 17th out of 50 states in percentage of renewable energy use. http://bit.ly/1NmQtte,4/12/16 12:34,1495,2529,36,,10,3,13,21
MU junior J'den Cox will be heading to Mongolia on April 22-24 for the &quot;Last Chance&quot; World Olympics Games Qualification Tournament. The top-three finishers will advance to the Summer Olympics in Rio de Janeiro.,4/12/16 10:31,1777,2999,62,,35,2,20,19
Dr. Robert Blake says that women are resorting to self-abortion because of the lack of access to safe abortion services.,4/12/16 10:13,3381,5633,217,12,38,6,83,144
"The Columbia School District stayed under budget by about $1.15 million in the 2015-16 academic year. Categories clocking savings included insurance, transportation and utilities. http://bit.ly/1UXkSGp",4/12/16 8:00,132,225,3,,,,2,2
"Today's front page features Centro Latino, diversity efforts, and a petition to recall a councilwoman. Our e-edition: http://bit.ly/1NlMsFn",4/12/16 6:00,1915,5518,14,,5,1,1,2
"The Tom Selleck's Staches might be in Columbia's lowest adult softball league, but what the team lacks in skill, they make up for in friends, beers and a fake mustache. http://bit.ly/22qoMqu",4/12/16 4:06,2237,3704,89,,5,,69,23
"In anticipation of a $5.47 million budget decrease for fiscal year 2017, MU announced it will make layoffs for 50 positions and cut back on campus operations, including office cleaning, parking lot trash pickup and winter weather response. http://bit.ly/1NlCzaT",4/11/16 20:23,1895,3023,182,1,4,4,90,117
"Unless every other MU residence hall reaches full capacity, Excellence and Respect halls will be under restricted access for the 2016-17 academic year. http://bit.ly/22q6l5a",4/11/16 18:06,2566,4264,204,4,2,,141,87
"Guest commentator Donna Brazile says the media has played a huge role in the primaries, and believes reporters are sometimes &quot;mischief makers.&quot;",4/11/16 17:20,1236,1967,27,,6,1,16,10
"Mashu White Feather was born and raised in Columbia. He's not a federally recognized member of the Cherokee tribe, but he fully embraces his roots.“I don’t need a card to tell me who I am,” White Feather said. “I don’t need a non-Native to tell me who I am. Nobody can take my heritage away from me.”",4/11/16 15:35,3245,5131,140,1,35,6,72,58
Columbia could become the place to be for next year's total solar eclipse. Reader Cleo Kottwitz predicts it will bring hundreds of thousands of science lovers to town. How should CoMo show the visitors some fun and hospitality?,4/11/16 14:15,2518,4093,120,5,15,1,61,76
"Enrollment is expected to drop by 1,500 students next fall, so MU Residential Life decided Respect and Excellence will only be available if all other residence halls are filled to capacity.",4/11/16 13:30,181,359,24,,2,,12,13
"Although Mizzou Tennis lost 4-1 to Kentucky, they honored the mother of Alex Clark, a former player, during the annual &quot;pink-out&quot; event on Sunday. Every year, the Missouri tennis team hosts this event to raise awareness for breast cancer. http://bit.ly/1oR6XUa",4/11/16 12:37,934,1552,13,,3,,6,7
No. 15 University of Missouri Softball Team lost the final game in a series against No. 10 Georgia on Sunday. This was the first time the team has been swept at home since entering the SEC. http://bit.ly/1oR5QnC,4/11/16 11:05,205,274,4,,1,,1,3
"Centro Latino is looking for a volunteer to continue BeAWARE, a program that strives to inform young individuals about domestic violence. Centro Latino Health Coordinator Eduardo Crespi says the program is necessary because &quot;prevention is the key factor in our problem.&quot; http://bit.ly/1UVEue7",4/11/16 10:25,134,211,9,,3,,2,5
"Frankie Hughes, a shooting guard from Ohio, announced his commitment to Mizzou Basketball on Sunday. Hughes is the fourth member to join Mizzou's 2016 class. http://bit.ly/1qDVHvR",4/11/16 8:45,180,279,1,,,,,1
"People participated in the first ever '80s/90s-themed 5K in Columbia on Sunday. For the event, Off Track Events partnered with Pednet Coalition, an organization that promotes active transportation, and makes it easier for people to walk, ride bikes and use wheelchairs within the community.",4/11/16 6:15,1763,2994,61,4,30,5,32,17
THIS WEEK IN PHOTOS: Missourian photographers went the extra mile in seeking out their sources' emotional reactions to recent events. http://bit.ly/1N307Xe,4/11/16 4:00,1059,1679,17,,1,,14,5
"The Missouri softball team ended the weekend in a three-game sweep by the Georgia Bulldogs. But, the team hopes to use the losses to fuel future victories. http://bit.ly/1Njb0il",4/10/16 20:07,1090,1774,11,,3,1,4,5
"This week's most read stories include the premiere of Spike Lee's documentary &quot;2 Fists Up,&quot; Brian Treece's mayoral victory and the potential to solve homelessness in Columbia with tiny houses. http://bit.ly/1RZHyA4",4/10/16 18:12,1462,2304,34,,4,,26,9
Members of St. Luke Orthodox Church in Columbia worshipped in harmony Sunday during Matins service. http://bit.ly/1qCjYCB,4/10/16 16:23,302,595,8,,5,,7,4
"According to recent data, almost 1,400 tap water systems serving 3.6 million Americans exceeded the federal lead standard at least once between Jan. 1, 2013, and Sept. 30, 2015. These numbers are relevant to local cities such as West Plains, Missouri, where lead levels more than four times the federal standard were found in water from a school. http://bit.ly/1N2Ppjk",4/10/16 14:20,186,264,1,,,,1,1
"Pope Francis is receiving praise from local clergy for promoting tolerance at  his exhortation on Friday. Pope Francis addressed divorce, unmarried couples who live together and gay people.",4/10/16 12:01,1294,2100,21,,5,,16,4
Democracy Now host Amy Goodman spoke at MU's Corner Playhouse on Saturday. Goodman spoke about the value of independent media and discussed the shortcomings of corporate media. http://bit.ly/1URwsTE,4/10/16 10:00,734,1191,5,,1,,3,4
"A few years ago, Teresa Villager started Tea Group at the Fortnightly Club with the hopes of getting ladies together for conversation, culture and ceremony. The group now has 250 active members.",4/10/16 8:00,396,590,4,,,,2,2
"Today's front page features diversity in children's books, citywide trash cleanup, and the grad student workers' unionization effort. Our e-edition: http://bit.ly/1RYm86g",4/10/16 6:00,1666,4803,6,,1,1,,
"Rubber Ducks made quite a splash at the Central Missouri Humane Society's fundraiser, CoMo Duck Derby, Saturday in Stephens Lake Park.",4/9/16 20:13,362,537,10,,4,,6,4
"Michael Plassmeyer (3-2) started the year as Missouri's third starter, but he was moved out of that role at the start of SEC play. However, he's now had two recent starts and is emerging a solid pitcher.",4/9/16 18:31,1029,1702,12,1,2,,3,9
"If a simple majority votes &quot;yes&quot; later this month, the workers coalition will become the official representative of graduate student workers at MU. http://bit.ly/1NhgPNq",4/9/16 16:00,2719,4278,67,5,15,4,35,23
"Clothes, beer bottles, toothbrush and an abandoned bicycle were among the items collected by Boy Scouts — and lots of other volunteers — during Saturday's Cleanup Columbia.",4/9/16 14:45,2175,3334,68,1,5,,46,24
"Columbia Independent School  received at least $2.2 million donation and began to work on a new athletics and arts center. The expansion allows us to better serve our students and our growing needs as we work toward becoming the premier campus for learning in Columbia, head of school Adam Dubé said.",4/9/16 12:10,374,544,13,,4,1,5,7
"An astrophysics professor and the associate dean of academic programs at the  Truman School of Public Affairs are this year's recipients of the MU Faculty Achievement Award in Diversity, which honors university employees for their efforts to increase inclusion and diversity on campus. CORRECTION: Charles Menifield was misidentified in the original post.",4/9/16 10:14,2255,3600,72,2,17,2,33,36
"Have you decided what events to go to this weekend? If not, we have some suggestions.",4/9/16 8:10,1763,2893,108,,2,,104,5
"On April 18 and 19, MU graduate students will vote on whether to unionize, a move which would allow for collective representation during future negotiations with the university. In response to a mass email from the Graduate Professional Council, Interim Chancellor Hank Foley expressed surprise at the decision and disappointment that he had not been notified earlier. http://bit.ly/1N0aVoZ",4/9/16 6:00,94,159,3,1,1,,1,1
THIS WEEK IN PHOTOS: Bernie Sanders makes painted appearances on various walls across the country. http://bit.ly/1Nf6gua,4/8/16 20:00,923,1630,12,1,,1,9,3
The last of five 2016 Kemper fellowships was awarded today to an MU engineering professor. The fellowship has honored excellence in teaching since its creation in 1991. http://bit.ly/25Q9orY,4/8/16 18:04,2009,3145,65,,21,1,36,12
Columbia Independent School broke ground for an athletics and arts center on Friday morning. The school has received $2.2 million in donations to begin work on the center which is expected to be finished by spring 2017. http://bit.ly/1N01GoS,4/8/16 16:30,1038,1844,75,3,34,5,31,32
"Three private donors contributed $3 million to a new building for the MU Sinclair School of Nursing. Two of the donors, Michael and Millie Brown, whose daughter is currently enrolled, said the contribution is from the heart. &quot;The state of Missouri has a dire need for nurses, and new facilities will help to fill a portion of that need,&quot; Richard Miller, another donor said. http://bit.ly/1qyzY8N",4/8/16 14:00,265,413,7,,2,,1,6
"Teresa Villagra, chair of Tea Group at Fortnightly Club, shared her experience about organizing tea time where ladies gather together, share different backgrounds, personalities and tea culture. &quot;Tea time is the perfect time to share a relaxing moment with your friends and family,&quot; she said. http://bit.ly/1S1G1vF",4/8/16 13:09,1550,2639,58,,14,3,31,35
"A violence education program called BeAWARE ran a successful test at Centro Latino, but the program needs more volunteers to be sustainable. &quot;Teaching young children about domestic violence can help them grow up to become peaceful individuals who will create safe home environments free of domestic violence,&quot; Coordinator Eduardo Crespi said.",4/8/16 12:27,958,1581,18,,6,,6,11
"Requiring fewer raw materials and costing less than traditional houses, tiny houses are regarded as a solution for homelessness and people who want to downsize. The Central Missouri Community Action Agency is working with Project Homeless Connect to consider a feasible plan for Columbia.",4/8/16 11:04,627,904,19,,7,3,9,6
"More than 700 volunteers from Central Methodist University participated in service at the Food Bank for Central &amp; Northeast Missouri on Thursday. CMU canceled classes for a day to encourage volunteerism. Matt Williams, associate director of the university's Center for Faith and Service, said the community service is part of education as a whole.",4/8/16 10:03,1505,2324,20,,12,1,5,6
"Tom Leuther, the runner up in the Third Ward city council race, filed four reports with the Missouri Ethics Comission Monday. The reports contained late donations from PACs totaling more than $15,000. http://bit.ly/1NcipzT",4/8/16 8:11,1675,2790,55,,1,,38,21
"Today's front page features prescription drugs in Missouri, tiny houses and funding for the UM System in the Missouri Senate budget. Check out our e-edition: http://bit.ly/1MXAdUM",4/8/16 6:00,1558,4345,7,,,,1,
"Jamila Raqib, the executive director of MIT’s Albert Einstein Institution, is an expert in nonviolent protest tactics. She spoke at MU Thursday about using nonviolent protest to counter oppression and the ways it can be successful. //bit.ly/1qxeVTS",4/8/16 4:09,837,1352,17,1,3,,7,13
"Mark your calendars, Missourians — a convenient mammogram may be coming to a location near you. About 1 in 8 women in the U.S. develop breast cancer during their lifetime, according to the American Cancer Society. http://bit.ly/1S0wDs4",4/7/16 20:14,1974,3166,55,,28,5,20,18
"Missouri senators approved a $27 billion budget for public education next year. The budget returns all but $1 million of the $8.6 million cut to the UM System proposed by the House. That could be enough to freeze tuition, Gov. Jay Nixon said. http://bit.ly/1S0x5GC",4/7/16 18:29,1794,3138,338,8,260,36,34,49
"For the past 150 years, Second Missionary Baptist Church - Columbia, MO  has built its congregation on the stories of its people. “What the founders believed and the purpose for planting a church here can be seen as orchestrated by God’s will and an indicator of the direction to follow,&quot; said Rev. Clyde Ruffin. http://bit.ly/25NRwxZ",4/7/16 16:11,1016,1649,26,,5,,10,18
"MU Interim Chancellor Hank Foley said he'd like to see the next UM System president display the qualities of impeccable integrity, high intellect and the intensity to do the job well. But the other attendees at a Wednesday forum had different concerns. http://bit.ly/1RYK7Vg",4/7/16 16:02,1657,2722,63,,2,,57,9
